"actorid","actor","code","parentid","isactive","sortorder"
"16","Civilian","4000","0","1","0"
"14","PNP","3600","0","1","0"
"15","Private armed groups","3800","0","1","0"
"13","Pirates","3400","0","1","0"
"12","Paramilitary","3200","0","1","0"
"11","Other paramilitary","3000","0","1","0"
"10","Organized syndicates","2800","0","1","0"
"9","NPA","2600","0","1","0"
"8","MNLF","2400","0","1","0"
"7","MILF","2200","0","1","0"
"6","Jemaah Islamiyah","2000","0","1","0"
"5","Gang","1800","0","1","0"
"4","Former rebels","1600","0","1","0"
"3","BIFF/BIFM","1400","0","1","0"
"2","AFP","1200","0","1","0"
"1","Abu Sayyaf","1000","0","1","0"
"-98","Undetermined","4200","0","1","0"
"19","Business - agribusiness","4400","0","1","0"
"20","Business - construction","4600","0","1","0"
"21","Business - mining","4800","0","1","0"
"22","Business - commercial","5000","0","1","0"
"23","Business - telecommunications","5200","0","1","0"
"24","Children","5400","0","1","0"
"25","Business - logging","5600","0","1","0"
"26","Business - trucking","5800","0","1","0"
"27","Business - livestock","6000","0","1","0"
"28","Business - unspecified","6200","0","1","0"
"29","Family/clan","6400","0","1","0"
"30","Government-agencies","6600","0","1","0"
"31","Government-LGU","6800","0","1","0"
"32","Tribal leader","7000","0","1","0"
"33","Indigenous peoples","7200","0","1","0"
"34","Maute Group","7400","0","1","0"
"35","Ansar Al-Khilafa","7600","0","1","0"
"36","Dawla Islamiya","7800","0","1","0"
