"manfid","manifestation","code","isactive"
"1","Murder","901","1"
"2","Homicide","902","1"
"3","Parricide","903","1"
"4","Shooting","2031","1"
"5","Ambush","905","1"
"6","Stabbing/Hacking","906","1"
"7","Assault","2032","1"
"8","Rape","908","1"
"9","Sexual harassment","909","1"
"10","Act of Lasciviousness","910","0"
"11","Human trafficking","911","1"
"12","Slavery/Servitude","912","1"
"13","Child Labor","913","0"
"14","Domestic Violence","914","1"
"15","Kidnapping/Abduction","915","1"
"16","Hostage-taking","916","1"
"17","Threat","917","1"
"18","Defamation/Slander","918","1"
"19","Robbery/Holdup","919","1"
"20","Theft","920","1"
"21","Carjacking ","921","1"
"22","Cattle rustling/Animal theft","922","1"
"23","Estafa","923","1"
"24","Anti-fencing","924","0"
"25","Arson","2033","1"
"26","Bombing","926","1"
"27","Other forms","928","1"
"28","Clash/Encounter","927","1"
"29","Unclear","9999","1"
"30","Harassment","929","1"
"31","Extortion","930","1"
"32","Drowning","800","1"
"33","Choking","802","0"
"34","None","1000","1"
"35","Malicious mischief/Damage to properties","1001","1"
"36","Disarming","932","0"
"37","Sexual molestation","933","1"
"38","Massacre","934","1"
"39","Beheading","2034","1"
"40","Incest","2035","1"
"41","Arrest","2036","1"
"42","Confiscation","2037","1"
"43","Entrapment (or Buy-bust)","2038","1"
"44","Raid","2039","1"
"45","Body Search","2040","1"
"46","Police Chase","2041","1"
"47","Surrender","2042","1"
