provid,province,isactive,psgc_code,provcode,regionid,,,,,,,,
1,Abra,1,140100000,,2,,,,,,,,
2,Apayao,1,148100000,,2,,,,,,,,
3,Benguet,1,141100000,,2,,,,,,,,
4,Ifugao,1,142700000,,2,,,,,,,,
5,Kalinga,1,143200000,,2,,,,,,,,
6,Mountain Province,1,144400000,,2,,,,,,,,
7,Ilocos Norte,1,12800000,,3,,,,,,,,
8,Ilocos Sur,1,12900000,,3,,,,,,,,
9,La Union,1,13300000,,3,,,,,,,,
10,Pangasinan,1,15500000,,3,,,,,,,,
11,Batanes,1,20900000,,4,,,,,,,,
12,Cagayan,1,21500000,,4,,,,,,,,
13,Isabela,1,23100000,,4,,,,,,,,
14,Quirino,1,25700000,,4,,,,,,,,
15,Nueva Vizcaya,1,25000000,,4,,,,,,,,
16,Aurora,1,37700000,,5,,,,,,,,
17,Bataan,1,30800000,,5,,,,,,,,
18,Bulacan,1,31400000,,5,,,,,,,,
19,Nueva Ecija,1,34900000,,5,,,,,,,,
20,Pampanga,1,35400000,,5,,,,,,,,
21,Tarlac,1,36900000,,5,,,,,,,,
22,Zambales,1,37100000,,5,,,,,,,,
23,Batangas,1,41000000,,6,,,,,,,,
24,Cavite,1,42100000,,6,,,,,,,,
25,Laguna,1,43400000,,6,,,,,,,,
26,Quezon,1,45600000,,6,,,,,,,,
27,Rizal,1,45800000,,6,,,,,,,,
28,Marinduque,1,174000000,,7,,,,,,,,
29,Occidental Mindoro,1,175100000,,7,,,,,,,,
30,Oriental Mindoro,1,175200000,,7,,,,,,,,
31,Palawan,1,175300000,,7,,,,,,,,
32,Romblon,1,175900000,,7,,,,,,,,
33,Albay,1,50500000,,8,,,,,,,,
34,Camarines Norte,1,51600000,,8,,,,,,,,
35,Camarines Sur,1,51700000,,8,,,,,,,,
36,Catanduanes,1,52000000,,8,,,,,,,,
37,Masbate,1,54100000,,8,,,,,,,,
38,Sorsogon,1,56200000,,8,,,,,,,,
39,Aklan,1,60400000,,9,,,,,,,,
40,Antique,1,60600000,,9,,,,,,,,
41,Capiz,1,61900000,,9,,,,,,,,
42,Guimaras,1,67900000,,9,,,,,,,,
43,Iloilo,1,63000000,,9,,,,,,,,
44,Negros Occidental,1,64500000,,9,,,,,,,,
45,Bohol,1,71200000,,10,,,,,,,,
46,Cebu,1,72200000,,10,,,,,,,,
47,Negros Oriental,1,74600000,,10,,,,,,,,
48,Siquijor,1,76100000,,10,,,,,,,,
49,Biliran,1,87800000,,11,,,,,,,,
50,Eastern Samar,1,82600000,,11,,,,,,,,
51,Leyte,1,83700000,,11,,,,,,,,
52,Northern Samar,1,84800000,,11,,,,,,,,
53,Southern Leyte,1,86400000,,11,,,,,,,,
54,Samar (Western Samar),1,86000000,,11,,,,,,,,
55,Zamboanga del Norte,1,97200000,,12,,,,,,,,
56,Zamboanga del Sur,1,97300000,,12,,,,,,,,
57,Zamboanga Sibugay,1,98300000,,12,,,,,,,,
59,Bukidnon,1,101300000,,13,,,,,,,,
60,Camiguin,1,101800000,,13,,,,,,,,
61,Lanao del Norte,1,103500000,,13,,,,,,,,
62,Misamis Occidental,1,104200000,,13,,,,,,,,
63,Misamis Oriental,1,104300000,,13,,,,,,,,
64,Davao del Norte,1,112300000,,14,,,,,,,,
65,Davao Oriental,1,112500000,,14,,,,,,,,
66,Davao del Sur,1,112400000,,14,,,,,,,,
67,Compostela Valley,1,118200000,,14,,,,,,,,
68,Davao Occidental,1,118600000,,14,,,,,,,,
69,North Cotabato,1,124700000,,15,,,,,,,,
70,Sarangani,1,128000000,,15,,,,,,,,
71,South Cotabato,1,126300000,,15,,,,,,,,
72,Sultan Kudarat,1,126500000,,15,,,,,,,,
73,Cotabato City,1,129804000,,15,,,,,,,,
74,Agusan del Norte,1,160200000,,16,,,,,,,,
75,Agusan del Sur,1,160300000,,16,,,,,,,,
76,Surigao del Norte,1,166700000,,16,,,,,,,,
77,Surigao del Sur,1,166800000,,16,,,,,,,,
78,Dinagat Islands,1,168500000,,16,,,,,,,,
79,Basilan,1,150700000,,17,,,,,,,,
80,Lanao del Sur,1,153600000,,17,,,,,103500000,Lanao del Norte,,"'103500000':'Lanao del Norte',"
81,Maguindanao,1,153800000,,17,,,,,153600000,Lanao del Sur,,"'153600000':'Lanao del Sur',"
82,Sulu,1,156600000,,17,,,,,153800000,Maguindanao,,"'153800000':'Maguindanao',"
83,Tawi-tawi,1,157000000,,17,,,,,156600000,Sulu,,"'156600000':'Sulu',"
84,National Capital Region,1,130000000,,1,,,,,157000000,Tawi-tawi,,"'157000000':'Tawi-tawi',"
85,Cordillera Administrative Region,1,140000000,,2,,,,,129804000,Cotabato City,,"'129804000':'Cotabato City',"
-98,UNDETERMINED,1,0,0,-98,,,,,150700000,Basilan,,"'150700000':'Basilan',"
-99,NOT APPLICABLE,1,0,0,-99,,,,,-98,Undetermined,,"'-98':'Undetermined',"
,,,,,,,,,,-99,Not Applicable,,"'-99':'Not Applicable',"
,,,,,,,,,,98,Undetermined,,"'98':'Undetermined',"
,,,,,,,,,,99,Not Applicable,,"'99':'Not Applicable',"
